Time,ID,Name,Event Category,Event Action
202109120014,B1000,A1000,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120030,B1001,A1001,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120030,B1001,A1001,View Question,Week 12 Homework 2 - PIPLS - /333427/week-12-homework-2
202109120053,B1002,A1002,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120053,B1002,A1002,View Resource,Week10 詳解 - PIPLS - /332892/week10
202109120054,B1002,A1002,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120054,B1002,A1002,View Question,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109120054,B1002,A1002,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109120055,B1003,A1003,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120057,B1003,A1003,View Resource,Week10 詳解 - PIPLS - /332892/week10
202109120105,B1004,A1004,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120105,B1004,A1004,View Question List,Recent questions in Week 12 (考前練習，不計分) - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109120114,B1002,A1002,Post Answer,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109120114,B1002,A1002,View Question,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109120121,B1002,A1002,Edit Answer,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109120121,B1002,A1002,View Question,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109120122,B1002,A1002,Edit Answer,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109120122,B1002,A1002,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120122,B1002,A1002,View Question,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109120122,B1002,A1002,View Question,Week 12 Homework 2 - PIPLS - /333427/week-12-homework-2
202109120122,B1002,A1002,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109120127,B1002,A1002,Post Answer,Week 12 Homework 2 - PIPLS - //333427/week-12-homework-2
202109120127,B1002,A1002,View Question,Week 12 Homework 3 - PIPLS - /333428/week-12-homework-3
202109120127,B1002,A1002,View Question,Week 12 Homework 2 - PIPLS - /333427/week-12-homework-2
202109120127,B1002,A1002,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109120131,B1002,A1002,Post Answer,Week 12 Homework 3 - PIPLS - //333428/week-12-homework-3
202109120131,B1002,A1002,View Question,Week 12 Homework 3 - PIPLS - /333428/week-12-homework-3
202109120132,B1002,A1002,View Question,Week 12 Homework 3 - PIPLS - /333428/week-12-homework-3
202109120132,B1002,A1002,View Question,Week 12 Homework 4 - PIPLS - /333429/week-12-homework-4
202109120132,B1002,A1002,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109120134,B1003,A1003,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120145,B1003,A1003,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109120155,B1003,A1003,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120156,B1003,A1003,View Question,Week 12 Homework 8 - PIPLS - /333434/week-12-homework-8
202109120255,B1005,A1005,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120833,B1006,A1006,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120833,B1006,A1006,View Question List,Recent questions in Week 1 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-1
202109120834,B1006,A1006,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120834,B1006,A1006,View Question,Week1 Homework 5 - PIPLS - /325910/week1-homework-5
202109120834,B1006,A1006,View Question List,Recent questions in Week 12 (考前練習，不計分) - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109120834,B1006,A1006,View Question List,Recent questions in Week 1 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-1
202109120834,B1006,A1006,View Resource,第二單元投影片 - PIPLS - /326900
202109120834,B1006,A1006,View Resource,第一單元投影片 - PIPLS - /325895
202109120835,B1006,A1006,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120838,B1006,A1006,View Question List,Recent questions in Week 7 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-7
202109120838,B1006,A1006,View Resource,第八單元投影片 - PIPLS - /331420
202109120839,B1007,A1007,View,第三單元 03 數學模組 - PIPLS - /326274/03
202109120915,B1006,A1006,View Question List,Recent questions in Week 7 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-7
202109120917,B1006,A1006,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109120917,B1006,A1006,View Question,Week1 Homework 5 - PIPLS - /325910/week1-homework-5
202109120917,B1006,A1006,View Question List,Recent questions in Week 1 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-1
202109120921,B1006,A1006,View Question,Week 1 Homework 1 - PIPLS - /325899/week-1-homework-1
202109120921,B1006,A1006,View Question List,Recent questions in Week 1 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-1
202109120922,B1006,A1006,View Question,Week 1 Homework 2 - PIPLS - /325902/week-1-homework-2
202109120922,B1006,A1006,View Question,Week 1 Homework 3 - PIPLS - /325904/week-1-homework-3
202109120922,B1006,A1006,View Question,Week 1 Homework 4 - PIPLS - /325906/week-1-homework-4
202109120922,B1006,A1006,View Question List,Recent questions in Week 1 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-1
202109120922,B1006,A1006,View Resource,第二單元 05 資料輸入 - PIPLS - /325908/05
202109121131,B1008,A1008,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109121136,B1008,A1008,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109121136,B1008,A1008,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109121137,B1008,A1008,Post Answer,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109121137,B1008,A1008,View Question,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109121138,B1008,A1008,View Question,Week 12 Homework 2 - PIPLS - /333427/week-12-homework-2
202109121138,B1008,A1008,View Question,Week 12 Homework 1 - PIPLS - /333426/week-12-homework-1
202109121138,B1008,A1008,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109121138,B1008,A1008,View Resource,Week 12 參考解答 - PIPLS - /333545/week-12
202109121139,B1008,A1008,Post Answer,Week 12 Homework 2 - PIPLS - /333427/week-12-homework-2
202109121139,B1008,A1008,View Question,Week 12 Homework 2 - PIPLS - /333427/week-12-homework-2
202109121139,B1008,A1008,View Question,Week 12 Homework 3 - PIPLS - /333428/week-12-homework-3
202109121139,B1008,A1008,View Question List,Week 12 (考前練習，不計分) 中最新問題 - PIPLS - /questions/2021-summer-初-級-程-式-設-計-python/week-12-考-前-練-習-，-不-計-分
202109121140,B1008,A1008,Post Answer,Week 12 Homework 3 - PIPLS - /333428/week-12-homework-3
202109121140,B1008,A1008,View Question,Week 12 Homework 4 - PIPLS - /333429/week-12-homework-4
202109121140,B1008,A1008,View Question,Week 12 Homework 3 - PIPLS - /333428/week-12-homework-3
202109121141,B1008,A1008,Post Answer,Week 12 Homework 4 - PIPLS - /333429/week-12-homework-4
202109121141,B1008,A1008,View Question,Week 12 Homework 4 - PIPLS - /333429/week-12-homework-4
202109121142,B1009,A1009,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109121142,B1008,A1008,View Question,Week 12 Homework 5 - PIPLS - /333431/week-12-homework-5
202109121142,B1009,A1009,View Resource,Week 12 參考解答 - PIPLS - /333545/week-12
202109121143,B1009,A1009,View Home,2021-Summer 初級程式設計-Python - PIPLS - /home_pipls
202109121143,B1009,A1009,View Resource,考試注意事項 - PIPLS - /333435
