Name,Page Title,Page,Total Played Time
C1000,第二單元 01 什麼是變數？ - PIPLS,/335016/01,2188
C1001,第二單元 05 資料輸入 - PIPLS,/334984/05,1840
C1002,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,1766
C1003,第二單元 04 資料輸出 - PIPLS,/334983/04,1750
C1004,第二單元 03 基本資料型態 - PIPLS,/335018/03,1676
C1005,第二單元 05 資料輸入 - PIPLS,/334984/05,1586
C1006,第四單元 06 字元及編碼 - PIPLS,/339447/06,1554
C1007,第二單元 01 什麼是變數？ - PIPLS,/334980/01,1550
C1008,第二單元 05 資料輸入 - PIPLS,/335020/05,1548
C1009,第五單元 01 關係與邏輯運算子 - PIPLS,/349966/01,1546
C1010,第三單元 03 數學模組 - PIPLS,/336606/03,1512
C1010,第八單元 04 具有傳回值的函式 - PIPLS,/359138/04,1420
C1011,第七單元 02 串列的基本操作 - PIPLS,/357349/02,1366
C1012,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1358
C1010,第二單元 05 資料輸入 - PIPLS,/335020/05,1358
C1013,第二單元 01 什麼是變數？ - PIPLS,/334980/01,1344
C1014,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1336
C1015,第二單元 04 資料輸出 - PIPLS,/335019/04,1330
C1016,第五單元 02 單向選擇結構 - PIPLS,/353003/02,1326
C1017,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,1324
C1000,第三單元 03 數學模組 - PIPLS,/336606/03,1314
C1018,第八單元 03 函式的參數傳遞 - PIPLS,/359147/03,1276
C1019,第四單元 02 字串的函式與運算子（二） - PIPLS,/339441/02,1276
C1020,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1272
C1021,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,1268
C1022,第二單元 03 基本資料型態 - PIPLS,/335018/03,1268
C1022,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/339446/05,1264
C1000,第四單元 06 字元及編碼 - PIPLS,/339447/06,1236
C1023,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,1234
C1003,第二單元 05 資料輸入 - PIPLS,/334984/05,1218
C1024,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1212
C1025,第二單元 01 什麼是變數？ - PIPLS,/335016/01,1212
C1026,第七單元 01 什麼是串列 - PIPLS,/357348/01,1210
C1027,第九單元 02 圖形屬性設定 - PIPLS,/364453/02,1204
C1028,第四單元 02 字串的函式與運算子（二） - PIPLS,/342992/02,1200
C1029,第七單元 01 什麼是串列 - PIPLS,/357348/01,1200
C1030,第二單元 01 什麼是變數？ - PIPLS,/335016/01,1200
C1022,第七單元 05 什麼是字典 - PIPLS,/355082/05,1190
C1020,第二單元 05 資料輸入 - PIPLS,/335020/05,1190
C1031,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1180
C1032,第七單元 01 什麼是串列 - PIPLS,/357348/01,1176
C1032,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,1166
C1008,第四單元 06 字元及編碼 - PIPLS,/339447/06,1164
C1033,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,1162
C1034,第七單元 03 處理串列的函式與方法 - PIPLS,/357350/03,1158
C1031,第二單元 05 資料輸入 - PIPLS,/335020/05,1158
C1035,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,1158
C1031,第二單元 03 基本資料型態 - PIPLS,/335018/03,1154
C1028,第三單元 01 算數運算子 - PIPLS,/339531/01,1144
C1036,第二單元 04 資料輸出 - PIPLS,/335019/04,1140
C1028,第四單元 03 字串的轉換與測試（一） - PIPLS,/342994/03,1132
C1037,第二單元 04 資料輸出 - PIPLS,/334983/04,1118
C1023,第二單元 04 資料輸出 - PIPLS,/334983/04,1114
C1034,第四單元 06 字元及編碼 - PIPLS,/342997/06,1114
C1013,第二單元 04 資料輸出 - PIPLS,/334983/04,1110
C1023,第二單元 01 什麼是變數？ - PIPLS,/334980/01,1110
C1038,第二單元 04 資料輸出 - PIPLS,/335019/04,1108
C1025,第五單元 04 多向選擇結構 - PIPLS,/349972/04,1108
C1019,第五單元 01 關係與邏輯運算子 - PIPLS,/349966/01,1106
C1000,第五單元 01 關係與邏輯運算子 - PIPLS,/349966/01,1106
C1008,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1104
C1039,第七單元 01 什麼是串列 - PIPLS,/357348/01,1102
C1040,第二單元 03 基本資料型態 - PIPLS,/334982/03,1102
C1032,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,1100
C1025,第九單元 02 圖形屬性設定 - PIPLS,/364485/02,1086
C1008,第二單元 04 資料輸出 - PIPLS,/335019/04,1084
C1018,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,1080
C1031,第六單元 06 while迴圈二 - PIPLS,/352995/06-while,1078
C1041,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1078
C1042,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,1072
C1017,第八單元 04 具有傳回值的函式 - PIPLS,/359148/04,1070
C1043,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/339446/05,1070
C1044,第七單元 05 什麼是字典 - PIPLS,/357352/05,1064
C1017,第七單元 01 什麼是串列 - PIPLS,/357348/01,1062
C1045,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,1058
C1033,第二單元 01 什麼是變數？ - PIPLS,/334980/01,1054
C1023,第三單元 03 數學模組 - PIPLS,/339533/03,1048
C1046,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1046
C1025,第五單元 01 關係與邏輯運算子 - PIPLS,/349966/01,1044
C1047,第二單元 01 什麼是變數？ - PIPLS,/335016/01,1042
C1048,第三單元 01 算數運算子 - PIPLS,/336599/01,1038
C1022,第二單元 01 什麼是變數？ - PIPLS,/335016/01,1038
C1000,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1036
C1005,第四單元 02 字串的函式與運算子（二） - PIPLS,/342992/02,1032
C1034,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,1030
C1033,第二單元 05 資料輸入 - PIPLS,/334984/05,1030
C1049,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/342996/05,1028
C1050,第二單元 04 資料輸出 - PIPLS,/334983/04,1024
C1051,第六單元 06 while迴圈二 - PIPLS,/354613/06-while,1020
C1052,第二單元 04 資料輸出 - PIPLS,/334983/04,1016
C1040,第二單元 04 資料輸出 - PIPLS,/334983/04,1012
C1053,第六單元 02 for迴圈一 - PIPLS,/352968/02-for,1006
C1004,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1000
C1043,第四單元 02 字串的函式與運算子（二） - PIPLS,/339441/02,998
C1054,第七單元 01 什麼是串列 - PIPLS,/357348/01,998
C1055,第七單元 01 什麼是串列 - PIPLS,/357348/01,996
C1056,第七單元 06 字典的應用範例 - PIPLS,/357353/06,996
C1057,第三單元 01 算數運算子 - PIPLS,/339531/01,994
C1000,第六單元 04 for迴圈三 - PIPLS,/352976/04-for,986
C1058,第二單元 01 什麼是變數？ - PIPLS,/335016/01,986
C1059,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,980
C1060,第二單元 01 什麼是變數？ - PIPLS,/335016/01,980
C1061,第九單元 01 基本繪圖~線性圖 - PIPLS,/364452/01,974
C1062,第二單元 05 資料輸入 - PIPLS,/334984/05,974
C1063,第三單元 01 算數運算子 - PIPLS,/336599/01,970
C1010,第二單元 01 什麼是變數？ - PIPLS,/335016/01,970
C1064,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,970
C1065,第三單元 01 算數運算子 - PIPLS,/339531/01,966
C1066,第二單元 04 資料輸出 - PIPLS,/335019/04,966
C1067,第一單元 03 軟體使用簡介 - PIPLS,/334430/03,966
C1006,第三單元 03 數學模組 - PIPLS,/336606/03,964
C1068,第六單元 05 while迴圈一 - PIPLS,/352990/05-while,962
C1000,第五單元 02 單向選擇結構 - PIPLS,/349968/02,962
C1069,第二單元 01 什麼是變數？ - PIPLS,/335016/01,958
C1041,第三單元 03 數學模組 - PIPLS,/336606/03,958
C1070,第七單元 01 什麼是串列 - PIPLS,/357348/01,958
C1006,第六單元 02 for迴圈一 - PIPLS,/352968/02-for,954
C1071,第一單元 03 軟體使用簡介 - PIPLS,/280671/03,954
C1072,第三單元02內建數值處理函式 - PIPLS,/339532/02,952
C1047,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,952
C1073,第二單元 04 資料輸出 - PIPLS,/335019/04,950
C1074,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,950
C1002,第三單元 01 算數運算子 - PIPLS,/339531/01,950
